x13.998456159691598; y-4.633609616833276; r154.8022671238743; vx0.25216979373144; vy0.4489508561812485; vr3.348378156812828;
x14.179009770778439; y-4.369425126115533; r158.15064528068712; vx0.05176036996473954; vy0.23576520411898017; vr3.131576693422062;
x14.364012742510965; y-3.9654754058015493; r160.88676004551684; vx0.25737149318525354; vy0.5487686757780921; vr3.725773296789498;
x14.556364746486347; y-3.5494650371585696; r164.59245913273293; vx0.1381666851812966; vy0.37868385261872994; vr3.2761110023491256;
x14.726186490010063; y-3.007062470306078; r168.7859615125783; vx0.5362243284823283; vy1.748317723210322; vr15.031568128426102;
x14.845817554652228; y-2.6537753898345273; r171.97776083472004; vx0.18288789119673687; vy0.2757862141633938; vr4.807773192785874;
x14.905023479943639; y-2.2710450030146263; r174.56331902775054; vx0.06614301379068621; vy0.43504064069736437; vr3.04325017129986;
x14.967350813971668; y-1.924217664200781; r177.13884011599444; vx0.06285163131980198; vy0.31390189091516163; vr3.003101752153384;
x15.037801224247376; y-1.4910162770751454; r180.38483980398388; vx0.04603474562330234; vy0.46231448724496627; vr3.067339222787723;
x15.06567618365594; y-1.1259399089208972; r183.26147403582615; vx0.006362829986095164; vy0.26746752668362195; vr2.2222149997553515;
x15.071963678801247; y-0.7872617827926837; r186.50747372381554; vx0.014759850935696761; vy0.1740303729860342; vr2.906745546202046;
x15.053864111004227; y-0.3251354335166381; r189.67919883638407; vx-0.007591257422461695; vy0.44644503150227166; vr3.027190803641247;
x15.075393061374063; y0.20420536967371486; r194.42674940045023; vx0.14089369781606464; vy0.5509093160090088; vr4.928218450225046;
x14.956916580590974; y0.6244554143262581; r197.13476027187744; vx-0.024698249276426054; vy0.4202040584334652; vr3.492912465740119;
x14.848643713439753; y1.0838721365935973; r201.5350270103269; vx-0.1069698335978444; vy0.3434174841796489; vr3.243992267032013;
x14.713454132211343; y1.5962116797736574; r204.87336806235314; vx-0.20290186743081762; vy0.5206160564785423; vr3.308229737666352;
x14.498384836225576; y2.136935651947227; r209.82969040598078; vx-0.4400240907492403; vy1.173170244046275; vr7.9614315167384575;
x14.322434602146004; y2.471235765202434; r212.65814653484725; vx-0.32554475850595566; vy0.5223451280916835; vr5.189183174676941;
x14.069351059514087; y3.017007073224424; r218.21067290279953; vx-0.8983601422726917; vy1.6758267899605932; vr14.52569804718081;
x13.90534774385859; y3.3426977909401723; r220.99496577060492; vx-0.15544072179663004; vy0.31329243084716474; vr3.364437524471441;
x13.521988566245664; y3.8791890997381513; r225.79671670051883; vx-0.23419945902696782; vy0.390336154249022; vr3.364437524471441;
x13.266294721181703; y4.1926036090209235; r229.15513196211825; vx-0.21989631636201068; vy0.25322865312115184; vr3.308229737666352;
x12.826392113673943; y4.6623755194796015; r233.63368811790326; vx-0.22771058531668942; vy0.2963429825601205; vr2.3667493086823583;
x12.551785027731245; y4.921544774664248; r237.18481579140564; vx-0.23854229940505434; vy0.17200993128908237; vr3.5491202525450944;
x12.008407020509198; y5.369692493165845; r242.47035517203406; vx-4.105297574712132; vy3.80413646839322; vr47.12420697313064;
