x-25.838132417515354; y1.6570967473714728; r-1.9451933701657418; vx-0.6127237965042909; vy0.28967703325930905; vr-0.17900552486186272;
x-26.197464139478498; y1.8452697019562638; r-2.1003314917127094; vx-0.4763030545492626; vy0.18100348107678688; vr-0.0954696132596684;
x-26.56949403133961; y1.984255116891183; r-2.2435359116022098; vx-0.23581576348698974; vy0.04795931695735467; vr-0.03580110497236566;
x-26.91459587092638; y2.035450592096362; r-2.2435359116022098; vx-0.24087622628764294; vy0.1117308587064425; vr-0.05966850828730719;
x-27.189542891251577; y2.1432350918620853; r-2.2912707182320484; vx-0.0744836919260905; vy0.02447643183314696; vr-0.04773480662984575;
x-26.96363612181741; y2.3989637656090137; r-2.6612154696132615; vx0.06880932631850101; vy0.18636842052244518; vr-0.28640883977902476;
x-26.848636261119143; y2.6657446125165967; r-3.0311602209944746; vx0.08181679155840982; vy0.1206923570221825; vr-0.14320441988951238;
x-26.71262201642501; y3.0698815599783384; r-3.5085082872928157; vx0.04323112925709793; vy0.3498545053512232; vr-0.42961325966850117;
x-26.677375132373168; y3.496645659474619; r-4.0574585635359135; vx0.027190265254503743; vy0.394968354220282; vr-0.4773480662983598;
x-26.621348513394175; y3.8937529285480625; r-4.594475138121548; vx0.06333752513572932; vy0.5722986677795183; vr-0.7756906077348091;
x-26.56196750307941; y4.329214955941492; r-5.167292817679557; vx0.05166147102006846; vy0.4144629007509657; vr-0.5250828729281594;
x-26.512984651393904; y4.9632576977332725; r-5.942983425414359; vx0.038580056067502255; vy0.5323530864160482; vr-0.7160220994474926;
x-26.46015954659724; y5.419598555769195; r-6.527734806629834; vx0.03909733955055117; vy0.6276867736876213; vr-0.8592265193370032;
x-26.405287419955716; y5.888632522535819; r-7.1244198895027635; vx0.12982537334377042; vy0.9162302531690703; vr-1.1337016574585546;
x-26.355109522899763; y6.366937347241622; r-7.756906077348062; vx0.10801255880425131; vy0.8158043356106637; vr-1.0740331491712274;
x-26.287585303907022; y6.875586438290579; r-8.460994475138119; vx0.05987632615789806; vy0.4119443930452018; vr-0.5728176795579998;
x-26.227362888753625; y7.321237455733351; r-9.05767955801105; vx0.05538396402374701; vy0.42898170053852525; vr-0.6086187845304014;
x-26.16304702416932; y7.763063264474033; r-9.630497237569065; vx0.10092166536610137; vy0.607017134033633; vr-0.7637569060773686;
x-26.088022429775357; y8.24027802476018; r-10.251049723756907; vx0.09823678541719971; vy0.6423813346455134; vr-0.9069613259668543;
x-26.011781661580724; y8.756764996509318; r-10.907403314917126; vx0.1057825893468447; vy0.7244266278332887; vr-0.9546961325966734;
x-25.914575046191608; y9.347227304334258; r-11.683093922651928; vx0.13196730568714088; vy0.8073078915652161; vr-1.1456353591160067;
x-25.914575046191608; y9.347227304334258; r-11.683093922651928; vx0.0; vy0.0; vr0.0;



