x-23.806606817434915; y1.559570742853219; r-1.8735911602209925; vx-1.1077577309309028; vy0.15390933892291403; vr-0.17900552486186272;
x-24.409574347781028; y1.5761603840278564; r-1.8497237569060754; vx-0.710481264618835; vy-0.04112976009446445; vr0.14320441988951238;
x-25.45498452611726; y1.6743996744561078; r-1.992928176795582; vx-9.255080802098561; vy1.202142579723109; vr-2.0048618784530925;
x-25.929594654628033; y1.694285331453073; r-2.016795580110499; vx-0.46477986811700944; vy-0.022301012361971795; vr0.03580110497238298;
x-26.343142361091; y1.7337354190892895; r-2.0883977900552497; vx-0.6762076622412394; vy0.0781480013079916; vr-0.11933701657458551;
x-26.747440185612472; y1.818570573999317; r-2.16; vx-0.4915425304814818; vy0.17330058581627128; vr-0.14320441988949106;
x-27.118206977765027; y1.987865085233676; r-2.303204419889501; vx-0.3769497720740347; vy0.20203546573972742; vr-0.21480662983423526;
x-27.433301773552216; y2.2141539700376485; r-2.541878453038674; vx-0.3951473860970509; vy0.2883147577913334; vr-0.33414364640884564;
x-27.805187861861217; y2.4166919648112524; r-2.768618784530387; vx-0.3158793847303798; vy0.024016368237740338; vr0.0477348066298422;
x-28.128809275714836; y2.436750897629965; r-2.744751381215476; vx-0.18282102359987107; vy-0.034198652026589116; vr0.09546961325964354;
x-28.417220854743785; y2.4838478223318363; r-2.685082872928181; vx-0.08755282587972602; vy0.06449091658002715; vr-1.9539925233402755E-14;
x-28.328184792943972; y2.106089415704161; r-2.2077348066298406; vx0.03251410163653645; vy-0.3156609266817032; vr0.42961325966849095;
x-28.31722652568782; y1.7795473031127726; r-1.8019889502762443; vx0.020454681458403456; vy-0.29343326117030877; vr0.3818784530386905;
x-28.301303706198723; y1.43248297108958; r-1.384309392265198; vx0.0055182376396771815; vy-0.2261602996399823; vr0.2506077348066176;
x-28.267250451989547; y1.085261174128562; r-0.9666298342541461; vx0.03821295615371412; vy-0.3751906098980795; vr0.4296132596685136;
x-28.255186391937652; y0.5310659288491562; r-0.2386740331491706; vx0.014327431164193882; vy-2.0914646164226545; vr2.685082872928212;
x-28.232786190916034; y0.0695421981217855; r0.33414364640883737; vx0.03165224805292155; vy-0.5119512975856243; vr0.6682872928176694;
x-28.202697499568142; y-0.34976782193068656; r0.8472928176795507; vx0.05152580535020945; vy-0.52012148024137; vr0.6205524861878247;
x-28.183594155582675; y-0.7841148884679531; r1.3604419889502755; vx0.04270125603072472; vy-0.6017604800097476; vr0.6682872928176931;
x-28.16424089432869; y-1.2237687394802625; r1.88552486187845; vx0.023780168288944026; vy-0.4126190262255076; vr0.4654143646408855;
x-28.14431818067162; y-1.6719509320365256; r2.446408839779002; vx0.02446066282071513; vy-0.6277032587577294; vr0.8592265193370014;
x-28.11222837725268; y-2.122757154763999; r3.031160220994477; vx0.033747643916374415; vy-0.45390139232399673; vr0.6086187845304041;
x-28.052391123982385; y-2.642943406410483; r3.7233149171270687; vx0.12087023662351726; vy-0.747032727089648; vr1.0024309392265174;
x-27.980587430201005; y-3.1900690117257193; r4.427403314917122; vx0.1311845023774616; vy-1.0258574257157882; vr1.3723756906077256;
x-27.911052355234105; y-3.8060091271242333; r5.250828729281765; vx0.09395190868251291; vy-0.7260557376522563; vr0.9546961325966947;
x-27.843212120203855; y-4.3938431257196315; r5.97878453038674; vx0.08516417008250698; vy-0.6921057956017336; vr0.8114917127072054;
x-27.773925861165363; y-5.026870657310706; r6.790276243093921; vx0.15990579695216667; vy-1.2431346255871567; vr1.6110497237568966;
x-27.674979622776863; y-5.582606516471305; r7.506298342541435; vx0.18880110670998818; vy-0.8814881307467193; vr1.0740331491712851;
x-27.565141861501854; y-6.11049365327526; r8.198453038674028; vx0.13757715148980765; vy-0.6542268523010044; vr0.8114917127071593;
x-27.457412732252312; y-6.606734876565612; r8.854806629834252; vx0.11003654419447173; vy-0.4990149811221585; vr0.6802209944751514;
x-27.353206335146133; y-7.092287764926913; r9.487292817679556; vx0.15890448060770268; vy-0.6934594313663105; vr0.9069613259668543;
x-27.2523879848269; y-7.570513841714606; r10.119779005524864; vx0.13060896273951528; vy-0.5712253860305161; vr0.7637569060773615;
x-27.158364049144087; y-8.044337938410953; r10.740331491712706; vx0.12577041379132936; vy-0.6769133251745565; vr0.8592265193370281;
x-27.050602522647978; y-8.580082068213247; r11.468287292817674; vx0.12258920305517051; vy-0.6161019334290359; vr0.8592265193369997;
x-26.94445596488974; y-9.03817172627363; r12.076906077348069; vx0.10469166782040418; vy-0.44295037206503096; vr0.6086187845304014;
x-26.82302064965012; y-9.524750340296386; r12.721325966850825; vx0.1720074142631347; vy-0.6361864705971954; vr0.8592265193369997;
x-26.69273834427528; y-10.024656823629826; r13.365745856353596; vx0.1597055888626926; vy-0.6166782670071882; vr0.8114917127072303;
x-26.553049544326193; y-10.506645552445804; r14.010165745856353; vx0.22051362429141363; vy-0.7744180024165175; vr1.0501657458563898;
x-26.402960444087753; y-10.991310859475286; r14.66651933701657; vx0.28671291389256837; vy-0.9648014304844565; vr1.3127071823203984;
x-26.245064132058406; y-11.511433866619456; r15.370607734806637; vx0.3317525403150512; vy-1.0860152925461986; vr1.4320441988950439;
x-26.07939810224651; y-12.006896998178101; r16.026961325966855; vx0.15387329703355235; vy-0.45958463127234417; vr0.5728176795580211;
x-25.91844087080132; y-12.465342834257406; r16.63558011049724; vx0.20312413179757982; vy-0.5816400548223584; vr0.7637569060773615;
x-25.76819604105053; y-12.90992191324916; r17.208397790055255; vx0.272194215836965; vy-0.760523825386672; vr0.9546961325967018;
x-25.585936445065872; y-13.440131646347869; r17.900552486187845; vx0.21591499579403717; vy-0.577014108045482; vr0.7637569060773473;
x-25.410167121644523; y-13.953094053373041; r18.568839779005522; vx0.3657165574087884; vy-1.0461399286057471; vr1.372375690607761;
x-25.19148176159348; y-14.52409614384765; r19.356464088397786; vx0.27794391942445884; vy-0.7097626058519424; vr0.9546961325966805;
x-24.962955851390163; y-15.075297445645885; r20.144088397790053; vx0.2987586598853653; vy-0.6926560774450294; vr1.0024309392265565;
x-24.70879384716643; y-15.671701575553827; r20.979447513812147; vx0.41078476111923123; vy-0.9625668345118683; vr1.3843093922652088;
x-24.483624822314415; y-16.18901454744753; r21.69546961325966; vx0.3950810034965535; vy-1.0064249472951925; vr1.3127071823204517;
x-24.254882089332128; y-16.69646458903648; r22.41149171270717; vx0.28205266917974825; vy-0.6517390146626525; vr0.9069613259668472;
x-24.04792415786521; y-17.173120534713675; r23.079779005524852; vx0.26752337288648675; vy-0.6343982122795921; vr0.8592265193369997;
x-23.835512772315575; y-17.647342932897065; r23.74806629834254; vx0.31404964045350425; vy-0.6845311069088353; vr1.002430939226528;
x-23.587541871317242; y-18.139865483008204; r24.4521546961326; vx0.24563747344190645; vy-0.4910734901826679; vr0.7160220994475317;
x-23.325567422046586; y-18.619708627170564; r25.144309392265185; vx0.38696478627850084; vy-0.697968489922296; vr1.014364640883958;
x-22.77096943367472; y-19.614998671898707; r26.564419889502755; vx5.935276241806303; vy-10.722025330948089; vr15.21546961325955;
x-22.498263742178345; y-20.105156919685047; r27.256574585635352; vx0.2936934767485013; vy-0.4768866433777639; vr0.7876243093922604;
x-22.276755959147174; y-20.490720698935252; r27.84132596685082; vx0.21321828512509455; vy-0.358235900735842; vr0.5728176795580104;
x-22.276755959147174; y-20.490720698935252; r27.84132596685082; vx0; vy0; vr0;
