x-8.100299253405254; y13.919061352913136; r-19.47580110497237; vx0.2190637912103881; vy0.7665696230441341; vr-1.0979005524861947;
x-7.899527084310314; y14.555582214390965; r-20.370828729281765; vx0.26614964205023384; vy0.8601834107952087; vr-1.1933701657458755;
x-7.669973168500301; y15.111624782083132; r-21.170386740331484; vx0.2333378419144969; vy0.5153953476939481; vr-0.7518232044198854;
x-7.429711465035922; y15.641268281803166; r-21.95801104972375; vx0.3579341787594963; vy0.737409840898799; vr-1.1456353591160138;
x-7.217195399887813; y16.131951436658273; r-22.709834254143647; vx0.2842054333132715; vy0.6879218406061796; vr-1.0501657458563614;
x-6.943160397569685; y16.881529624301123; r-23.843535911602206; vx0.27680764366942867; vy0.7476599895672251; vr-1.0979005524861947;
x-6.7576525114789945; y17.41595157346842; r-24.64309392265193; vx0.2573143261781041; vy0.6769854248882012; vr-1.0024309392265138;
x-6.534051338515375; y17.969112189815352; r-25.430718232044196; vx0.39944105697766297; vy0.8939242905833922; vr-1.25303867403316;
x-6.3362948667369; y18.390809181107077; r-26.0632044198895; vx0.3686041003565279; vy0.7632829415906883; vr-1.145635359116028;
x-6.043509972350569; y18.931246990384345; r-26.874696132596682; vx0.3684210388285365; vy0.6672943257358668; vr-0.9546961325966805;
x-5.778084595108775; y19.40796638718181; r-27.650386740331484; vx0.35529996700818245; vy0.6202371207533588; vr-1.0501657458563471;
x-5.510121642246434; y19.89774096650943; r-28.438011049723755; vx0.3747500407564246; vy0.6680260907640303; vr-1.0979005524861805;
x-5.242056513303244; y20.410756621246016; r-29.237569060773478; vx0.3839147876588598; vy0.7562994448506828; vr-1.1456353591160138;
x-4.975635729607436; y20.92742399201565; r-30.02519337016574; vx0.35218850985548045; vy0.6760022429967023; vr-0.9546961325966947;
x-4.6797542392183455; y21.47837800796061; r-30.86055248618784; vx0.38360936648220445; vy0.7079501076432138; vr-1.050165745856333;
x-4.355298483251125; y22.030166839380957; r-31.69591160220994; vx0.40209491895798166; vy0.6871087557719449; vr-1.0979005524861947;
x-4.0380947786113515; y22.53851136320993; r-32.50740331491711; vx0.3716144083271864; vy0.645617147675793; vr-1.050165745856333;
x-3.743846716022949; y22.98866846789888; r-33.28309392265192; vx0.36701254999275434; vy0.5362891321459671; vr-0.9069613259668472;
x-3.430260272923914; y23.502138757732265; r-34.16618784530385; vx0.3733247044753121; vy0.6095578869515634; vr-1.050165745856333;
x-3.0831198586677133; y24.06104391284136; r-35.0731491712707; vx0.5946841267763103; vy0.9555885272318143; vr-1.4917127071823089;
x-2.8192090509247554; y24.473867774104548; r-35.74143646408838; vx0.46716317918375516; vy0.7606528983377387; vr-1.2411049723756946;
x-2.3415533540462903; y25.122684880886624; r-36.82740331491711; vx0.7164722458601225; vy0.9684949296134882; vr-1.6707182320442016;
x-1.9391670207181826; y25.635685169266388; r-37.7224309392265; vx0.34097787971152815; vy0.4826106321284698; vr-0.8592265193369997;
x-1.3758158046739015; y26.40367193246295; r-39.08287292817678; vx0.3723556774624255; vy0.5342982875274345; vr-0.9069613259668472;
x-1.0457266640353506; y26.8480095469308; r-39.85856353591159; vx0.4259689794881112; vy0.5857220812650183; vr-1.0024309392265423;
x-0.6841437561644755; y27.329682264307145; r-40.65812154696131; vx0.4064621295594777; vy0.5468171250455214; vr-0.9069613259668472;
x-0.34772265408499925; y27.746996061755944; r-41.36220994475137; vx0.43853422754532834; vy0.5481413215488686; vr-0.9546961325966947;
x0.026513083308948734; y28.174168221365104; r-42.13790055248617; vx0.4451898995700105; vy0.47340278667418545; vr-0.9069613259668188;
x0.3722360729371847; y28.547395141401328; r-42.86585635359114; vx0.5005006011513309; vy0.521727812879007; vr-1.0024309392264854;
x0.6981953288087577; y28.906722612360753; r-43.558011049723746; vx0.434847716034926; vy0.48291998195276165; vr-0.9069613259668472;
x1.062647298916066; y29.291901828971866; r-44.33370165745855; vx0.49203653886512244; vy0.5297176671643058; vr-1.0024309392265138;
x1.4222633353038203; y29.672952803337406; r-45.06165745856353; vx0.46863437885082515; vy0.49273023500182944; vr-0.9069613259668472;
x1.8051195270489981; y30.078238021504223; r-45.813480662983416; vx0.5317588310909667; vy0.5638768466804578; vr-1.0501657458563614;
x2.2051816841904426; y30.484636515523206; r-46.577237569060756; vx0.5818683326721974; vy0.555759985656195; vr-1.0501657458563614;
x2.6487764781701744; y30.91580704523967; r-47.44839779005524; vx0.5200918593002459; vy0.5022003787075136; vr-1.0024309392265423;
x3.0511269178186335; y31.29188612479374; r-48.2360220994475; vx0.5269460683003153; vy0.4950036399736888; vr-1.0024309392265423;
x3.465792965682497; y31.67379213218286; r-49.03558011049723; vx0.5886046151606532; vy0.5360441895234516; vr-1.0979005524861805;
x3.9840536048529716; y32.143615407979766; r-50.00220994475138; vx0.6301450067965035; vy0.6536953467092275; vr-1.3365745856353612;
x4.460907652445032; y32.55943194222466; r-50.837569060773475; vx0.6284624460012331; vy0.5364281878140957; vr-1.0979005524861805;
x4.901620731590386; y32.92967511617742; r-51.61325966850829; vx0.5551914864110721; vy0.46310169066958906; vr-1.0024309392265423;
x5.3742673838758455; y33.29087346387967; r-52.44861878453038; vx1.3767980007655236; vy1.0382680291872646; vr-2.4225414364640656;
x5.868642663695787; y33.67313307228711; r-53.36751381215469; vx0.5449848221947846; vy0.4277875886867548; vr-1.0024309392265138;
x6.398243838421489; y34.07319020854177; r-54.32220994475138; vx0.702909975410531; vy0.5477436316181183; vr-1.2411049723756946;
x6.955349917648665; y34.4869815901863; r-55.276906077348066; vx0.711938804734892; vy0.5359558357015146; vr-1.241104972375723;
x7.483580079677231; y34.86738834493994; r-56.13613259668509; vx0.7002762206166651; vy0.4930254634828657; vr-1.0979005524862373;
x7.977054188518061; y35.213161946095106; r-56.971491712707184; vx0.6056160363302325; vy0.4337602867818191; vr-1.0501657458563614;
x8.524523353461202; y35.58283618491494; r-57.90232044198895; vx0.7618659325195054; vy0.5017297655830646; vr-1.2888397790055137;
x8.953250643605086; y35.866955419028166; r-58.64220994475139; vx0.5820038952962534; vy0.37587516985976777; vr-1.0024309392265423;
x9.41544184209265; y36.15029622489283; r-59.394033149171285; vx0.5762394560405539; vy0.3441164497043019; vr-0.9546961325966947;
x9.935280763321522; y36.46323255911384; r-60.20552486187847; vx0.6812969713971029; vy0.41186551552107176; vr-1.0979005524861805;
x10.466063302420501; y36.76816917568213; r-61.028950276243116; vx0.4565623547206812; vy0.2942673541758509; vr-0.7518232044199067;
x10.945533632894639; y37.04815639776161; r-61.79270718232046; vx0.46006301198216804; vy0.27521148376548155; vr-0.787624309392271;
