x0.06179868441777902; y-0.4483203657273098; r-0.2168014633907596; vx-0.004982364785097768; vy-1.316721332406631; vr0.0;
x-2.386496102914547; y-105.23348878232454; r2.9348494396045406; vx-0.05415306930752628; vy1.2160724828930825; vr0.024089051487861113;
x-2.4193772190365888; y-104.48801554767857; r2.9509088072631156; vx-0.06157476368055903; vy1.4601983750416139; vr0.040148419146436964;
x-2.4593092422028633; y-103.57124462184032; r2.972990437793656; vx-0.0767668526730847; vy1.8739209268845514; vr0.060222628719655;
x-2.5113355668577793; y-102.4031165796272; r2.99908691023884; vx-0.05776323003514072; vy1.3636367710089985; vr0.040148419146436964;
x-2.546015740786958; y-101.67751776978588; r3.009124015025449; vx-0.06641804410704033; vy1.4197405254427053; vr0.024089051487861113;
x-2.5859612653993973; y-100.90510069196039; r3.0111314359827706; vx-0.08122460326190506; vy1.5441177975013716; vr0.0;
x-2.627545514446693; y-100.06320036780967; r3.0111314359827706; vx-0.07404149125614445; vy1.5619169458505553; vr0.008029683829287038;
x-2.6798350055991915; y-98.92997540677057; r3.0291982245986677; vx-0.06351757844135975; vy1.3553796393161406; vr0.02408905148786289;
x-2.714869857776396; y-98.19197340019579; r3.0412427503425987; vx-0.0650125043621319; vy1.481545163901501; vr0.040148419146436964;
x-2.7467603441465633; y-97.453531373209; r3.0633243808731385; vx-0.05711407025440174; vy1.4254133511832947; vr0.05620778680500926;
x-2.7799083547774646; y-96.77220349854444; r3.073361485659748; vx-0.06815416570118948; vy1.3202930086658853; vr0.008029683829287038;
x-2.8406132676460016; y-95.61679130976945; r3.073361485659748; vx-0.07646137015920118; vy1.4731853035106042; vr-0.008029683829287038;
x-2.881845456311462; y-94.81153575246341; r3.0793837485317135; vx-0.07312438874952853; vy1.4611123359395037; vr0.01605936765857585;
x-2.9176235092440224; y-94.10948796855737; r3.0854060114036788; vx-0.07738426778711016; vy1.4864746167355065; vr0.008029683829287038;
x-2.963932548554385; y-93.25036367787027; r3.0854060114036788; vx-0.12101036013238087; vy2.2449815708282017; vr0.0;
x-3.039284074296518; y-91.8524438101844; r3.0854060114036788; vx-0.08351520973912407; vy1.549372355747721; vr0.0;
x-3.1091449807132423; y-90.5563857928764; r3.0854060114036788; vx-0.41938217347371465; vy7.780368966362872; vr0.0;
x-3.152636465369775; y-89.74953271488323; r3.0854060114036788; vx-0.0622029373575983; vy1.1539875417809071; vr0.0;
x-3.2162218370044386; y-88.55765945161286; r3.087413432361001; vx-0.07605113090919247; vy1.4099797915606018; vr0.0;
x-3.2549771830071674; y-87.80200460016768; r3.0934356952329662; vx-0.0763762846592968; vy1.5147056556137386; vr0.016059367658574075;
x-3.2953464607140717; y-86.99336687296501; r3.103472800019575; vx-0.07948979294113023; vy1.6179895288727835; vr0.024089051487861113;
x-3.3364354305272474; y-86.19885602372457; r3.109495062891541; vx-0.0832480543707863; vy1.582940638933053; vr0.008029683829288814;
x-3.4044460426259797; y-84.86145287798675; r3.1235470095927935; vx-0.4010487879962481; vy7.928986843624045; vr0.09033394307948317;
x-3.448233752616939; y-84.01030767471512; r3.131576693422081; vx-0.08470769591026439; vy1.6486778761180858; vr0.016059367658574075;
x-3.4878801663998846; y-83.22448013643888; r3.1416137982086907; vx-0.07496538728959656; vy1.5657655697359019; vr0.0321187353171517;
x-3.5274050697870143; y-82.38325886407382; r3.1616880077819087; vx-0.07993394418684474; vy1.6958377161747649; vr0.040148419146436964;
x-3.5805858728472724; y-81.32431855787908; r3.1777473754404837; vx-0.0904993869891797; vy1.828393211324567; vr0.03211873531714993;
x-3.6443659784775195; y-79.99618630346745; r3.207858689800312; vx-0.07264652149695294; vy1.5900023136207437; vr0.04817810297572578;
x-3.6889208776893447; y-79.14206734636825; r3.217895794586921; vx-0.0917064275358328; vy1.7289557169673913; vr0.01605936765857585;
x-3.733733009998967; y-78.29769596532651; r3.2259254784162077; vx-0.06466158399630739; vy1.220320775772791; vr0.012044525743929224;
x-3.7780168128086453; y-77.39354722929485; r3.245999687989426; vx-0.07860908597303862; vy1.7254060400452431; vr0.05620778680500926;
x-3.8195850561736107; y-76.50843785256694; r3.2720961604346104; vx-0.08450467966809505; vy1.766807927000798; vr0.048178102975724;
x-3.864901671074153; y-75.58788597265816; r3.2941777909651506; vx-0.09102592896605088; vy1.8686176256550766; vr0.048178102975724;
x-3.902495981209022; y-74.80805461852336; r3.316259421495691; vx-0.07712775741415712; vy1.472963841163903; vr0.02408905148786289;
x-3.9749387073564177; y-73.5121871468231; r3.3242891053249783; vx-0.17267424912110307; vy3.092264223751897; vr0.020074209573219814;
x-4.027314640712635; y-72.51906101477358; r3.3403484729835533; vx-0.12780194208275475; vy2.4258574642179553; vr0.04014841914643963;
x-4.135898562760126; y-70.51114230059153; r3.3664449454287375; vx-0.5816642554369125; vy10.982544468914085; vr0.18066788615896634;
x-4.211919518367288; y-69.07408351899856; r3.3925414178739217; vx-0.26747121586185685; vy4.866630538435032; vr0.06022262871965545;
x-4.275802022610261; y-67.91791588618125; r3.406593364575175; vx-0.10321217908678193; vy1.9191285014846926; vr0.0321187353171517;
x-4.350548525263249; y-66.62922610950334; r3.41261562744714; vx-0.30566623492871514; vy5.207874297892886; vr0.014051946701255424;
x-4.410392126825371; y-65.62567616140723; r3.41261562744714; vx-0.11888822313009229; vy1.9937013655100486; vr0.0;
x-4.490453644290267; y-64.27206341322035; r3.414623048404462; vx-0.10392842537916636; vy1.7418053485066594; vr0.0;
x-4.542018132266853; y-63.407859990307436; r3.414623048404462; vx-0.11000424101671769; vy1.84363396888088; vr0.0;
x-4.598858986454997; y-62.45522644970111; r3.414623048404462; vx-0.1090449017055235; vy1.8275557656639023; vr0.0;
x-4.650423474431583; y-61.59102302678819; r3.414623048404462; vx-0.12191603746402269; vy2.0432716588251054; vr0.0;
x-4.710354205337079; y-60.5418127092689; r3.422652732233749; vx-0.10514022529702771; vy1.8962098815341903; vr0.024089051487861113;
x-4.7674917789982585; y-59.531105943672856; r3.4326898370203582; vx-0.110710059063166; vy1.9376133504668474; vr0.0160593676585723;
x-4.816351992849061; y-58.62784835850969; r3.448749204678933; vx-0.08883534734376397; vy1.6564485543728154; vr0.03211873531714993;
x-4.86910899211713; y-57.70863677336243; r3.4567788885082207; vx-0.14031645985317365; vy2.3799468979420624; vr0.010037104786611017;
x-4.933806122593334; y-56.604903546996894; r3.462801151380186; vx-0.17986354647217428; vy3.0297280607028654; vr0.010037104786611017;
x-4.9863688427529365; y-55.714564599575986; r3.466815993294829; vx-0.1107096475687186; vy1.827455674191441; vr0.0;
x-5.040991073174047; y-54.790732974806915; r3.470830835209473; vx-0.10810393583880185; vy1.8732299324337873; vr0.01605936765857585;
x-5.096993492822833; y-53.82330795227353; r3.4788605190387605; vx-0.10179677692514844; vy1.8103606510842667; vr0.024089051487861113;
x-5.14763808095179; y-52.93591620174575; r3.48889762382537; vx-0.1009119719075322; vy1.7002525406736027; vr0.008029683829288814;
x-5.26965721006737; y-50.88027479941254; r3.49893472861198; vx-1.2336516623021367; vy20.83992578631866; vr0.11241557361003096;
x-5.329701980378008; y-49.89825184652512; r3.49893472861198; vx-0.11107872925133222; vy1.8166754762828816; vr0.0;
x-5.392040411764632; y-48.87871642067611; r3.49893472861198; vx-0.16506168100400398; vy2.6995583220574915; vr0.0;
x-5.450713110616772; y-47.90838894789304; r3.500942149569301; vx-0.10720813493244563; vy1.7523646246973215; vr0.0;
x-5.54570585329404; y-46.312663430314345; r3.5089718333985886; vx-0.1625999215519558; vy2.7080494133676325; vr0.010037104786611017;
x-5.602741255128232; y-45.37182002335576; r3.5109792543559104; vx-0.10784390583822301; vy1.7577046727410561; vr0.0;
x-5.660690914896485; y-44.42732170454292; r3.5109792543559104; vx-0.20253611584251896; vy3.3010551170990894; vr0.0;
x-5.774206489563089; y-42.577176770811654; r3.5109792543559104; vx-0.5792500033856376; vy9.44096404634631; vr0.0;
x-5.84292410029537; y-41.457175927510185; r3.5109792543559104; vx-0.2096051523532516; vy3.4162705148549577; vr0.0;
x-5.913861059699628; y-40.301002808169066; r3.5109792543559104; vx-0.28424102621080394; vy4.63273076092883; vr0.0;
x-6.027294436267271; y-38.452197588365195; r3.5109792543559104; vx-0.8517367014448682; vy13.882115715657804; vr0.0;
x-6.106451205567734; y-37.162053076284664; r3.5109792543559104; vx-0.1796028462321031; vy2.927274931356152; vr0.0;
x-6.165305044424569; y-36.20281790427049; r3.5109792543559104; vx-0.15494341654348265; vy2.525360753137882; vr0.0;
x-6.232722463259812; y-35.082090709110126; r3.514994096270554; vx-0.18543160159121275; vy3.1318637797596693; vr0.020074209573217594;
x-6.319795638619187; y-33.653598584481394; r3.5170015172278757; vx-0.11590016269236969; vy1.9306326425245288; vr0.008029683829287038;
x-6.381138129237745; y-32.65551815066536; r3.5170015172278757; vx-0.15026851728707324; vy2.4449621365292273; vr0.0;
x-6.43688157373273; y-31.748537675909034; r3.5170015172278757; vx-0.10473509807625092; vy1.704105116528865; vr0.0;
x-6.538570132006447; y-30.094001654750905; r3.5170015172278757; vx-0.656241141248195; vy10.677451083911151; vr0.0;
x-6.59772408610444; y-29.08776971750171; r3.5250312010571636; vx-0.17805973821391596; vy3.1597046814322596; vr0.048178102975727555;
x-6.657799433175076; y-28.037591163119775; r3.5390831477584164; vx-0.15116094351880438; vy2.555723463773578; vr0.020074209573217594;
x-6.722592219954335; y-26.989966527085855; r3.5390831477584164; vx-0.16819610890268066; vy2.719537098655831; vr0.0;
x-6.8113430911430015; y-25.544095382349308; r3.5410905687157386; vx-0.10743206928609084; vy1.7805403174764365; vr0.008029683829288814;
x-6.868131072763331; y-24.626421059800375; r3.5410905687157386; vx-0.11606302812914038; vy1.8755387614138783; vr0.0;
x-6.920110728932596; y-23.786447628795738; r3.5410905687157386; vx-0.0738658271879018; vy1.19364645458554; vr0.0;
x-6.976580414210022; y-22.863051106539615; r3.5430979896730603; vx-0.12672775422223737; vy2.0913401185594864; vr0.008029683829287038;
x-7.05919771754765; y-21.528742138617613; r3.5430979896730603; vx-0.10650664406175991; vy1.7201332478030622; vr0.0;
x-7.109713719287223; y-20.712884546785787; r3.5430979896730603; vx-0.09555736289653183; vy1.5432971195242402; vr0.0;
x-7.157243553436279; y-19.94525498993909; r3.5430979896730603; vx-0.12442364960485897; vy2.0095014577138492; vr0.0;
x-7.217796396243978; y-18.967297613851674; r3.5430979896730603; vx-0.13205496678062545; vy2.1327508804536564; vr0.0;
x-7.31627067817112; y-17.366031245571325; r3.5451054106303816; vx-0.3830026487026572; vy6.272552870480354; vr0.016059367658570523;
x-7.3719751073809885; y-16.45603532985226; r3.547112831587704; vx-0.15402809141642937; vy2.540482481434889; vr0.010037104786611017;
x-7.432447550507735; y-15.437780191975449; r3.555142515416991; vx-0.2527832862300361; vy4.225007240745509; vr0.028103893402501523;
x-7.515874747138676; y-14.084370710989562; r3.557149936374313; vx-0.09926696403602264; vy1.596859527593658; vr0.0;
x-7.574918604103055; y-13.134560807412466; r3.557149936374313; vx-0.2103593549957985; vy3.3839489653536567; vr0.0;
x-7.626051083900133; y-12.312017393031173; r3.557149936374313; vx-0.08894053489133569; vy1.43074326801176; vr0.0;
x-7.673102958631973; y-11.555116694129818; r3.557149936374313; vx-0.11617232787772824; vy1.8688079202962626; vr0.0;
x-7.754581340939721; y-10.222779923608194; r3.561164778288957; vx-0.07907856161121884; vy1.358632619177456; vr0.01605936765857585;
x-7.792820822517957; y-9.587063705529651; r3.5651796202036; vx-0.07445113471511533; vy1.1949549290094765; vr0.0;
x-7.836055898507229; y-8.893132479938949; r3.5651796202036; vx-0.09648599969806781; vy1.5486187196580161; vr0.0;
x-7.8909761301692765; y-8.011652274458866; r3.5651796202036; vx-0.07211410358056014; vy1.1574451330315991; vr0.0;
x-7.950153097112121; y-7.061850654876224; r3.5651796202036; vx-0.07712202744032126; vy1.2378232672699028; vr0.0;
x-7.990383418785536; y-6.4161463098285045; r3.5651796202036; vx-0.07812361221227349; vy1.2538988941175653; vr0.0;
x-8.029862551879987; y-5.782498684916529; r3.5651796202036; vx-0.07812361221227349; vy1.2538988941175653; vr0.0;
x-8.078022086331357; y-5.009528960658159; r3.5651796202036; vx-0.1008262003765239; vy1.6182797693312168; vr0.0;
x-8.138951826625119; y-4.03159499409211; r3.5651796202036; vx-0.07111251880861147; vy1.1413695061839348; vr0.0;
x-8.174424620631761; y-3.4622498765707803; r3.5651796202036; vx-0.07077865721795717; vy1.1360109639013825; vr0.0;
x-8.211733653386982; y-2.863432776495405; r3.5651796202036; vx-0.07011093403665569; vy1.125293879336276; vr0.0;
x-8.248458428358564; y-2.2739931254144987; r3.5651796202036; vx-0.07411727312446459; vy1.1895963867269206; vr0.0;
x-8.282323219522683; y-1.7196643245137924; r3.5631721992462784; vx-0.061008029941355346; vy1.0223602745933515; vr-0.008029683829287038;
x-8.316038236941854; y-1.1776494441413423; r3.5430979896730603; vx-0.07415817069863095; vy1.0204560087758967; vr-0.04817810297572578;
x-8.353848467977; y-0.6630556664422548; r3.512986675313233; vx-0.061190923412681286; vy0.9080936365337844; vr-0.0160593676585723;
x-8.40008333488426; y0.057961827247583086; r3.506964412441267; vx-0.10492919577248472; vy1.712161756033798; vr0.0;
x-8.46918780064228; y0.613418542206547; r3.5671870411609223; vx-0.10341782746201744; vy0.6277247129965908; vr0.09635620595144978;
x-8.540031184747036; y1.0260630170310336; r3.5932835136061065; vx-0.09612855633816508; vy0.5465595939562946; vr0.024089051487864666;
x-8.602448122710804; y1.440835535802658; r3.6294170908379004; vx-0.0811095095186829; vy0.5606209426302309; vr0.07226715446358689;
x-8.672998589059773; y1.8073480811946279; r3.761906874021142; vx-0.10579792530165122; vy0.4705388487252309; vr0.22483114722004593;
x-8.782866459667247; y2.19164238691282; r3.988745442198511; vx-0.11164857169013942; vy0.2534741786546473; vr0.1846827280736072;
x-8.911821138211568; y2.4454253084014774; r4.1674059074001555; vx-0.05456337834571201; vy0.08434713303718944; vr0.08029683829287393;
x-8.911821138211568; y2.4454253084014774; r4.1674059074001555; vx-0; vy0; vr0;
