x0.06179868441777902; y-0.4483203657273098; r-0.2168014633907596; vx-0.004982364785097768; vy-1.316721332406631; vr0.0;
x-1.0823607853866635; y-35.17472608567977; r0.8190277505873157; vx-0.06159649670943512; vy-1.6873160260601239; vr-0.26096472445183927;
x-1.1038934066840385; y-35.8935905030453; r0.7246789655931887; vx-0.04486914602097336; vy-1.254520643029764; vr-0.18468272807360986;
x-1.122846833135643; y-36.64501543847622; r0.644382127300315; vx-0.0509018927870708; vy-1.918850955392024; vr-0.20074209573218427;
x-1.1488831690527364; y-37.97475160030397; r0.5239368698610039; vx-0.12851852764495475; vy-6.874460576835659; vr-0.5962040243245915;
x-1.1638629491813908; y-38.71004508863973; r0.4596993992267047; vx-0.025314352053929845; vy-1.441105148890955; vr-0.11241557361002319;
x-1.1745896949768646; y-39.48463459438897; r0.4095138752936587; vx-0.023095331160011057; vy-1.5525147183257388; vr-0.10438588978073571;
x-1.1844647380445004; y-40.484704427546745; r0.359328351360612; vx-0.024368870220255356; vy-2.9932298676116886; vr-0.1324897831832451;
x-1.2041070592667373; y-41.94398866008509; r0.27501667115309447; vx-0.008081014103953343; vy-2.4056373987400903; vr-0.06022262871965667;
x-1.2032920527408977; y-42.82208640547071; r0.2649795663664856; vx0.0031659743038292554; vy-2.103830088763523; vr-0.020074209573218982;
x-1.2053267774313943; y-43.84543031191325; r0.2449053567932667; vx-0.01595435141802226; vy-3.7459878453603537; vr-0.09836362690877282;
x-1.2167745204722478; y-45.32093986271497; r0.1927124119028988; vx-0.014414835239921153; vy-1.9378380891830318; vr-0.06423747063430074;
x-1.2265616042500491; y-46.464302591770945; r0.15256399275646162; vx-0.011098363840109648; vy-2.0013229048903014; vr-0.050185523933047316;
x-1.231094345105161; y-47.89970886524889; r0.13248978318324336; vx0.005178215577135603; vy-6.882978223265582; vr0.0;
x-1.2325814387782608; y-50.17539722267487; r0.12044525743931267; vx-0.014024330888795511; vy-2.7245141553578023; vr-0.040148419146434494;
x-1.2356738484352527; y-51.6413447997145; r0.10237846882341564; vx-0.007261661492938831; vy-4.590151004651986; vr-0.04817810297572539;
x-1.2469100641526178; y-53.173978922658165; r0.12044525743931267; vx-0.015216799685128235; vy-2.419539999157827; vr0.020074209573218843;
x-1.2462705356282808; y-54.12428075230676; r0.12044525743931267; vx0.0010751865342326639; vy-1.8187791380076135; vr0.008029683829287537;
x-1.2482006727132238; y-55.121617776238494; r0.12847494126860026; vx-0.0081171617070952; vy-2.523678551252182; vr0.040148419146437964;
x-1.2492234529950286; y-57.07521954131395; r0.12446009935395647; vx-0.0011004109130787754; vy-1.965036415763052; vr0.0;
x-1.2586128242401136; y-58.0125464151799; r0.1385120460552097; vx-0.01745873084067373; vy-1.879580095185645; vr0.06423747063430052;
x-1.2608070630673858; y-59.29304613166524; r0.13851204605520903; vx-9.183195833184499E-4; vy-6.020970542989346; vr-0.048178102975725556;
x-1.2609642242607053; y-60.893690018787844; r0.14252688796985283; vx-0.007573168405189401; vy-2.419529459811507; vr0.020074209573218982;
x-1.2617608506281894; y-61.94493487570695; r0.13248978318324336; vx-3.558115468227374E-4; vy-2.6675681246283034; vr-0.020074209573218982;
x-1.2601973155443198; y-62.91837560732465; r0.13048236222592147; vx0.00530342284698726; vy-2.3287685447396456; vr0.0;
x-1.2576459043688644; y-64.3334099304385; r0.12847494126859957; vx0.002417102100021218; vy-2.2401359944746275; vr-0.008029683829287593;
x-1.2552441626815247; y-65.40450932285295; r0.12847494126859957; vx0.006154839286478531; vy-2.7448599717889266; vr0.0;
x-1.2529778575555013; y-66.41520837358988; r0.12847494126859957; vx0.005658238561652151; vy-2.5233920523047004; vr0.0;
x-1.2523314653132536; y-67.60136985998854; r0.12245267839663457; vx-0.002667053459420865; vy-3.300036994484117; vr-0.030111314359825003;
x-1.2502164589397067; y-68.90499942648162; r0.12044525743931267; vx0.0017970490639795944; vy-2.4109236530682665; vr-0.010037104786609491;
x-1.251990229185265; y-70.00220374285493; r0.10840073169538131; vx-0.004977485288432115; vy-2.548387153952447; vr-0.030111314359828473;
x-1.2527759482684093; y-71.04238630490718; r0.10037104786609374; vx0.0034611576971146363; vy-1.9757642231587624; vr0.0;
x-1.251319675498665; y-72.2567839710649; r0.10237846882341564; vx0.001367769006164199; vy-2.696277039182391; vr0.010037104786609491;
x-1.2505610290832199; y-73.42119754085554; r0.10639331073805942; vx0.001911283637282546; vy-2.890900426181915; vr0.010037104786609491;
x-1.2501240877507165; y-74.71548598649714; r0.1124155736100251; vx0.0030945386099123784; vy-3.3472586464237963; vr0.010037104786609491;
x-1.2495573604460588; y-76.01917004299905; r0.11843783648199079; vx-3.7817699069742083E-4; vy-3.1711617465607134; vr0.020074209573218912;
x-1.2528418761609454; y-76.99573100235077; r0.13048236222592147; vx-0.001533591084600383; vy-2.3456903553881148; vr0.020074209573218843;
x-1.25200624591055; y-77.95204697511646; r0.12646752031127836; vx-0.001247540709637951; vy-2.39912213073751; vr-0.020074209573215512;
x-1.2505301338483372; y-78.92484246647932; r0.12847494126860026; vx0.0012826754738517465; vy-1.7973032907505058; vr0.008029683829287593;
x-1.248489556324507; y-79.83487428108707; r0.12847494126860026; vx0.005131540823201108; vy-2.288501834669958; vr0.0;
x-1.2454708258578382; y-81.18113078558791; r0.12847494126860026; vx0.005598044534400604; vy-2.496547456003526; vr0.0;
x-1.2440238345599997; y-82.12573939852032; r0.13048236222592216; vx0.001441956423787083; vy-1.8402545987892154; vr0.008029683829287593;
x-1.2417893664901738; y-83.10690931564118; r0.13048236222592216; vx0.004120469162962159; vy-1.809325647440346; vr0.0;
x-1.239795749505077; y-84.27701246837253; r0.13248978318324403; vx0.005010702743981188; vy-3.9683885586140946; vr0.012044525743931223;
x-1.2361178428898079; y-85.57730871806658; r0.13449720414056593; vx0.01742418085414732; vy-5.503556187941882; vr0.014051946701253287;
x-1.2280112013987337; y-86.70487131963498; r0.15055657179914042; vx0.01328499929336946; vy-2.073877872715059; vr0.024089051487862778;
x-1.2225587193148797; y-87.73306266338733; r0.15858625562842799; vx0.00653857334080854; vy-2.3623213644354024; vr0.0;
x-1.2149293702992319; y-89.48739845093232; r0.16661593945771486; vx0.04456324606034068; vy-11.446044911621243; vr0.03613357723178792;
x-1.2115912415496588; y-90.40982952729583; r0.164608518500393; vx0.005059305270322945; vy-1.7610026768953162; vr0.0;
x-1.208175577148334; y-91.37118532754015; r0.1626010975430711; vx0.005637544021714902; vy-1.9864971208443194; vr0.0;
x-1.2032206548698015; y-92.4077021445639; r0.1605936765857492; vx0.017899093176990677; vy-2.759862934359276; vr-0.010037104786609491;
x-1.1929187152699854; y-93.9033008652738; r0.16661593945771486; vx0.05597803958221892; vy-8.972485401262233; vr0.018066788615896834;
x-1.1863771606249163; y-94.98550050612833; r0.17263820232968058; vx0.011625085367421573; vy-2.776786982666337; vr0.01003710478660963;
x-1.1830271643021504; y-95.86970341503014; r0.17464562328700245; vx0.005105954733658713; vy-1.6750992385296968; vr0.0;
x-1.1802409822720048; y-96.78375997067018; r0.17464562328700245; vx0.005744199075365941; vy-1.8844866433459515; vr0.0;
x-1.1791615880761828; y-98.01856544808868; r0.16661593945771486; vx-0.002525228180316308; vy-5.336391127396553; vr-0.05620778680501315;
x-1.176829728746228; y-99.77281335391743; r0.15858625562842732; vx0.008396122585355714; vy-3.033435388422845; vr0.0;
x-1.176186799172273; y-100.74287565251034; r0.15256399275646162; vx0.0017367011163731405; vy-1.6388164996146202; vr-0.008029683829287593;
x-1.1762892907522067; y-101.96458363830472; r0.14252688796985283; vx-0.009673933023487402; vy-5.188331452354049; vr-0.07025973350626158;
x-1.1739215332637105; y-104.29566972575647; r0.13650462509788716; vx0.002366363636166824; vy-2.151651679043141; vr0.008029683829287593;
x-1.1717118483832663; y-105.223150227393; r0.13650462509788716; vx0.006123801079668256; vy-2.5703692628566444; vr0.0;
x-1.1706744155104891; y-106.81498923649612; r0.12847494126859957; vx0.009870785027539242; vy-10.073206677343478; vr-0.040148419146437964;
x-1.174569804083679; y-107.77899486271582; r0.11843783648199079; vx-0.01480120246150407; vy-2.4158007808011916; vr-0.040148419146434564;
x-1.1752489221863567; y-108.78159509331019; r0.1104081526527032; vx0.0036934687001828337; vy-1.9167054358312043; vr0.0;
x-1.1738310796832578; y-109.8550582228141; r0.1124155736100251; vx0.006857605901506858; vy-3.4951684978087485; vr0.0;
x-1.170971110401754; y-111.31272066084037; r0.1124155736100251; vx0.0036552830227689626; vy-1.8630160810133134; vr0.0;
x-1.1667407039043471; y-112.12874020355936; r0.10438588978073753; vx0.0028659889387130377; vy-1.5730946872356526; vr0.0;
x-1.1651585410687262; y-112.99716363584733; r0.10438588978073753; vx0.003286594823917355; vy-1.8039584126661907; vr0.0;
x-1.1634565544634834; y-113.93135638526373; r0.10438588978073753; vx0.004096016614628661; vy-2.2482368610236847; vr0.0;
x-1.161084532901579; y-115.23332041821473; r0.10438588978073753; vx0.0028953335353554266; vy-1.5892014587772678; vr0.0;
x-1.1591722433537344; y-116.28294503034638; r0.10438588978073753; vx0.0040471089535587534; vy-2.221392241787541; vr0.0;
x-1.1589072914514302; y-117.51817536403736; r0.1104081526527032; vx0.001211126664231843; vy-7.157700337684673; vr0.03613357723179404;
x-1.1541826114718894; y-118.92520344008601; r0.1164304155246689; vx0.038633879087; vy-9.600652538275227; vr0.060222628719656945;
x-1.1516901537484248; y-119.821489313735; r0.11843783648199079; vx0.00602034968934273; vy-1.6415938492049804; vr0.008029683829287537;
x-1.149508929411237; y-120.54596959225309; r0.12044525743931267; vx0.003002177413822693; vy-1.4281329579822568; vr0.0;
x-1.1506070989732584; y-121.91247159330089; r0.13650462509788783; vx-0.02063852380229325; vy-7.182375748597821; vr0.10840073169538225;
x-1.1521189811740324; y-122.66519906188657; r0.14654172988449662; vx9.419852060563727E-4; vy-1.4375854467142517; vr0.008029683829287593;
x-1.1538647952560297; y-123.28638848637456; r0.1565788346711061; vx-0.004903360863912631; vy-1.1987857706579916; vr0.024089051487862667;
x-1.1572343098985576; y-123.99122781687646; r0.18066788615896745; vx-0.006636570151648868; vy-1.3935726358305942; vr0.048178102975720005;
x-1.1588804174226766; y-124.72355388536454; r0.2007420957321864; vx-7.994875917454181E-4; vy-1.3585563736173754; vr0.03211873531715037;
x-1.153824145913722; y-125.3940629234088; r0.21278662147611774; vx0.009974471836789789; vy-1.28872245786323; vr0.03211873531715015;
x-1.1501858441597461; y-126.49069927492442; r0.27100182923845134; vx0.01299941836542473; vy-3.1178744403232486; vr0.19271241190289773;
x-1.1467851261611648; y-127.18746429024917; r0.2950908807263134; vx0.011762017646513856; vy-1.6662019471387168; vr0.030111314359828334;
x-1.145483456750751; y-128.34291633799418; r0.31315766934221045; vx-0.010799514275714461; vy-6.930330955127744; vr0.1405194670125326;
x-1.1502505601945037; y-128.93368917019865; r0.3372467208300725; vx-0.012379389308303512; vy-1.3662008126412672; vr0.06022262871965667;
x-1.1520229617243196; y-129.5378183825852; r0.35330608848864703; vx-0.003747938954005825; vy-1.159939135322702; vr0.032118735317147706;
x-1.1557154405696153; y-130.46072157550287; r0.36535061423257836; vx-0.039271386023650656; vy-2.1086475789148835; vr0.06022262871965678;
x-1.1663753009344844; y-131.50130116569574; r0.40549903337901494; vx-0.017265022616778314; vy-2.199364154976138; vr0.09635620595144712;
x-1.167704763432468; y-132.06054558643467; r0.4336029267815208; vx-4.01006973682172E-4; vy-1.0351505546410635; vr0.04014841914643519;
x-1.1742559726918853; y-133.04108704225942; r0.47977360879992365; vx-0.058818020114284275; vy-7.658661401596646; vr0.3974693495497273;
x-1.1808246139159397; y-133.6081146546653; r0.5098849231597514; vx-0.011966177216545804; vy-1.3208984509309118; vr0.05018552393304787;
x-1.1843539020428044; y-134.11096161964488; r0.5299591327329696; vx-0.0021768163269237917; vy-0.939828067704866; vr0.03211873531715037;
x-1.1784823222076837; y-135.10258901618442; r0.539996237519579; vx0.02761954687968382; vy-4.907843478859235; vr0.0542003658476915;
x-1.179843648266988; y-135.59634633421334; r0.5580630261354754; vx-0.006919149651327672; vy-0.9641421658436684; vr0.04817810297572267;
x-1.184239429494954; y-136.1039330254433; r0.5821520776233374; vx-0.009633941313551553; vy-0.9171447018745766; vr0.04014841914643519;
x-1.1848623452699543; y-136.82888628654229; r0.5982114452819126; vx0.003391310878043008; vy-1.8929233047502976; vr0.048178102975725556;
x-1.1845362859478663; y-137.43404368128878; r0.6162782338978089; vx0.0029800114980806924; vy-0.78129548652214; vr0.016059367658574963;
x-1.1842011741770304; y-138.08516438343335; r0.6323376015563834; vx-0.010147184631241535; vy-2.0935614436370713; vr0.07025973350626158;
x-1.1889822460626902; y-139.20700853085398; r0.6765008626174642; vx-0.01936755512334587; vy-10.259759015422645; vr0.34126156274470854;
x-1.1902426814000655; y-139.6662025513371; r0.6925602302760387; vx-0.0011887586780439108; vy-1.248689203525089; vr0.04817810297572489;
x-1.1921220550601148; y-140.56387065978222; r0.6865379674040737; vx-0.006894229969571342; vy-0.5464617767544269; vr0.008029683829287038;
x-1.198133827303791; y-140.95531003132297; r0.6985824931480045; vx-0.006975168499550044; vy-0.5303576060109663; vr0.008029683829287926;
x-1.1992480846068216; y-141.52318213217342; r0.7066121769772921; vx0.012645428118211788; vy-2.516061672748492; vr0.054200365847684506;
x-1.2011333173552465; y-141.91059874162923; r0.726686386550511; vx-0.003577058906595987; vy-0.35591944910743223; vr0.02408905148786289;
x-1.2086362851510433; y-142.26597771158524; r0.7628199637823037; vx-0.011845202589578996; vy-0.32531258747121683; vr0.04817810297572267;
x-1.2369504925438197; y-142.64355150354965; r0.8631910116483962; vx-0.030590097232931157; vy-0.29509700979735953; vr0.10438588978073593;
x-1.2713245001142957; y-142.96640015808782; r1.037836634935397; vx-0.030512405391101005; vy-0.25264753384385585; vr0.16862336041503623;
x-1.2945900727703272; y-143.2579684900919; r1.1643041552466735; vx-0.008673024078362346; vy-0.10241160494763335; vr0.03211873531714993;
x-1.247338104749395; y-142.8790559367685; r1.4011798282106493; vx-0.004293420744390097; vy0.28820013689608004; vr0.05620778680500749;
x-1.242004723637375; y-142.51052252116563; r1.6380555011746283; vx0.02777454633433596; vy0.45523371313677785; vr0.32118735317149594;
x-1.2051108804370094; y-142.0851676911972; r1.8628866483946749; vx0.06567697514685; vy0.6851475269367313; vr0.28103893402505964;
x-1.181242822289726; y-141.22029929183782; r2.041547113596319; vx0.043878348507112586; vy9.062259812710664; vr1.399172407253323;
x-1.1893621283938731; y-140.7681228186754; r2.065636165084181; vx-0.023639762008339504; vy0.9374483234417141; vr0.03011131435982639;
x-1.1883455313608062; y-140.05659206007076; r2.1218439518891934; vx0.053267176403373195; vy3.6934798613467024; vr0.3211873531715037;
x-1.171404462608664; y-139.50512616112528; r2.2061556320967104; vx0.015252624964125161; vy0.7304551892511881; vr0.12847494126859793;
x-1.1801745037437354; y-138.5445879137534; r2.29247473326155; vx-0.10412117434491552; vy5.011237467498972; vr0.28103893402505964;
x-1.2012804309796519; y-137.90107051251277; r2.3065266799628024; vx-0.028530072549378893; vy0.9108106878309172; vr0.024089051487861113;
x-1.206121592290769; y-137.08338512564794; r2.338645415279952; vx-0.025389249595371144; vy2.480734904493005; vr0.11241557361002164;
x-1.2166981739777218; y-136.27149788294096; r2.4028828859142513; vx-0.030816009355292273; vy1.1241754567415683; vr0.04817810297572578;
x-1.2313321104221961; y-135.74795976861262; r2.420949674530148; vx-0.03688661749505662; vy1.2728267639981539; vr0.03011131435982861;
